date,region,total_consumption_kwh,avg_consumption_kwh,peak_meter_consumption_kwh,total_solar_kwh,total_ev_kwh,avg_temperature_c
2025-03-13,Munich,782.45,0.8176,2.0888,90.96,146.03,4.14
2025-03-14,Berlin,1041.94,1.0876,2.7539,82.22,105.83,4.18
2025-03-14,Cologne,989.38,1.0338,2.5377,99.9,170.68,4.2
2025-03-14,Hamburg,1035.53,1.0809,2.4719,75.53,69.05,3.76
2025-03-14,Leipzig,897.87,0.9382,2.3245,95.26,111.68,3.58
2025-03-14,Munich,779.89,0.8149,2.0563,93.67,162.89,3.92
2025-03-15,Berlin,877.34,0.9206,2.4061,83.17,89.7,4.24
2025-03-15,Cologne,846.23,0.8852,2.2928,99.35,194.0,3.76
2025-03-15,Hamburg,882.04,0.9188,2.1492,77.6,79.48,3.95
2025-03-15,Leipzig,753.38,0.7864,1.8962,94.25,85.14,4.01
2025-03-15,Munich,666.33,0.6977,1.7488,94.43,180.0,3.74
2025-03-16,Berlin,894.75,0.933,2.4045,86.55,107.94,3.83
2025-03-16,Cologne,848.23,0.8882,2.0901,103.07,173.71,4.25
2025-03-16,Hamburg,869.01,0.9109,2.2381,77.55,70.56,4.16
2025-03-16,Leipzig,749.97,0.7837,1.8528,97.68,138.59,4.11
2025-03-16,Munich,657.0,0.6872,1.6997,97.63,157.05,4.49
2025-03-17,Berlin,1027.31,1.0746,2.6214,85.59,116.38,4.55
2025-03-17,Cologne,992.56,1.0393,2.4581,104.56,148.37,3.9
2025-03-17,Hamburg,1025.88,1.072,2.5394,80.32,59.03,4.27
2025-03-17,Leipzig,883.34,0.924,2.3199,99.05,101.72,4.27
2025-03-17,Munich,765.83,0.8011,2.0741,98.91,144.78,5.01
2025-03-18,Berlin,1039.57,1.0852,2.687,89.61,123.06,4.34
2025-03-18,Cologne,981.56,1.0311,2.5092,105.31,171.68,4.42
2025-03-18,Hamburg,1018.69,1.0667,2.552,80.79,59.14,4.58
2025-03-18,Leipzig,870.59,0.9107,2.2387,100.86,100.0,4.91
2025-03-18,Munich,766.02,0.7996,2.1375,101.77,118.65,4.97
2025-03-19,Berlin,1035.56,1.0798,2.6364,89.93,108.9,4.38
2025-03-19,Cologne,997.88,1.0416,2.457,109.22,185.9,3.89
2025-03-19,Hamburg,1014.27,1.0576,2.5295,83.72,67.16,5.1
2025-03-19,Leipzig,877.61,0.919,2.2063,103.13,141.43,4.72
2025-03-19,Munich,769.72,0.8051,1.9919,101.08,177.03,4.8
2025-03-20,Berlin,1020.35,1.0684,2.6305,90.89,117.16,4.87
2025-03-20,Cologne,982.58,1.0278,2.3792,110.88,219.08,4.36
2025-03-20,Hamburg,1019.05,1.0648,2.3992,85.3,61.82,4.73
2025-03-20,Leipzig,875.86,0.9171,2.1985,104.45,114.97,4.58
2025-03-20,Munich,766.14,0.7989,1.9735,104.97,117.02,5.29
2025-03-21,Berlin,1016.77,1.0625,2.5236,93.48,129.77,5.44
2025-03-21,Cologne,969.75,1.0133,2.4415,113.12,182.13,5.29
2025-03-21,Hamburg,1011.49,1.0591,2.4926,86.26,52.38,4.91
2025-03-21,Leipzig,878.69,0.9182,2.1425,106.57,88.7,4.38
2025-03-21,Munich,764.65,0.7965,1.9732,107.8,145.1,5.0
2025-03-22,Berlin,871.82,0.911,2.1895,96.05,106.8,5.02
2025-03-22,Cologne,823.44,0.8622,2.2235,114.38,179.71,5.21
2025-03-22,Hamburg,847.64,0.8857,2.0148,87.05,81.95,5.45
2025-03-22,Leipzig,736.53,0.7696,1.847,108.75,146.69,5.26
2025-03-22,Munich,650.42,0.6775,1.6634,108.31,135.12,5.36
2025-03-23,Berlin,869.79,0.9089,2.2721,95.57,119.4,5.02
2025-03-23,Cologne,831.17,0.8703,2.1305,116.6,173.24,4.61
2025-03-23,Hamburg,861.12,0.8979,2.0924,90.56,92.11,5.28
2025-03-23,Leipzig,743.06,0.7756,1.862,110.32,94.21,5.28
2025-03-23,Munich,648.38,0.6796,1.605,109.98,147.58,5.03
2025-03-24,Berlin,1009.36,1.058,2.5261,97.05,96.85,5.71
2025-03-24,Cologne,975.33,1.0213,2.4236,119.14,160.53,5.22
2025-03-24,Hamburg,995.96,1.0396,2.4946,90.28,74.39,5.63
2025-03-24,Leipzig,861.91,0.9025,2.2103,113.3,128.26,5.49
2025-03-24,Munich,770.78,0.8054,1.974,113.42,131.83,4.94
2025-03-25,Berlin,1013.29,1.0599,2.5179,100.12,90.5,5.4
2025-03-25,Cologne,963.98,1.0105,2.342,119.4,209.71,5.58
2025-03-25,Hamburg,1005.06,1.0513,2.4737,91.79,47.55,5.35
2025-03-25,Leipzig,863.65,0.9025,2.1561,112.4,106.49,5.41
2025-03-25,Munich,758.83,0.7921,1.9707,114.93,149.23,5.51
2025-03-26,Berlin,1010.75,1.0562,2.6485,102.51,140.76,5.51
2025-03-26,Cologne,962.69,1.0038,2.3408,123.03,200.44,5.71
2025-03-26,Hamburg,1008.71,1.054,2.4966,93.59,67.09,5.07
2025-03-26,Leipzig,854.15,0.8944,2.2635,115.02,109.6,5.7
2025-03-26,Munich,761.13,0.7945,2.0307,116.65,180.77,5.36
2025-03-27,Berlin,1012.16,1.0587,2.6255,103.23,116.67,5.75
2025-03-27,Cologne,962.97,1.0052,2.2669,123.76,205.15,5.59
2025-03-27,Hamburg,994.46,1.0402,2.4954,95.21,69.2,5.99
2025-03-27,Leipzig,866.83,0.9048,2.1741,116.02,109.07,5.56
2025-03-27,Munich,765.53,0.7983,1.977,118.25,128.99,5.64
2025-03-28,Berlin,998.18,1.0485,2.4867,104.69,139.74,6.13
2025-03-28,Cologne,961.74,1.0039,2.3204,127.89,143.75,5.78
2025-03-28,Hamburg,995.72,1.0437,2.6139,95.93,63.57,5.6
2025-03-28,Leipzig,850.71,0.888,1.9853,119.32,130.43,6.4
2025-03-28,Munich,755.71,0.7897,1.9846,119.65,175.35,5.72
2025-03-29,Berlin,855.69,0.896,2.233,105.64,81.15,6.06
2025-03-29,Cologne,815.84,0.8534,2.0688,128.74,138.79,5.9
2025-03-29,Hamburg,842.06,0.8808,2.2009,99.66,51.34,6.07
2025-03-29,Leipzig,722.84,0.753,1.8526,121.41,102.96,6.53
2025-03-29,Munich,638.81,0.6661,1.7013,122.83,189.71,6.05
2025-03-30,Berlin,850.9,0.8901,2.2444,108.06,97.57,6.38
2025-03-30,Cologne,808.26,0.8446,2.0395,131.12,175.27,6.25
2025-03-30,Hamburg,831.17,0.8685,1.9695,99.45,91.55,7.05
2025-03-30,Leipzig,723.05,0.7571,1.7491,121.2,119.87,6.08
2025-03-30,Munich,629.15,0.6574,1.6768,124.09,129.39,6.73
2025-03-31,Berlin,1002.6,1.0487,2.6445,109.19,127.9,6.09
2025-03-31,Cologne,951.51,0.9974,2.4819,133.5,226.56,6.14
2025-03-31,Hamburg,984.23,1.0274,2.2798,102.72,105.25,6.63
2025-03-31,Leipzig,849.81,0.8871,2.1526,125.27,116.69,6.22
2025-03-31,Munich,748.25,0.7827,1.9287,124.32,168.12,6.3
2025-04-01,Berlin,1005.72,1.0487,2.5348,110.94,107.17,6.26
2025-04-01,Cologne,955.15,0.997,2.3659,135.44,165.86,6.38
2025-04-01,Hamburg,988.02,1.0324,2.4761,103.48,94.87,6.44
2025-04-01,Leipzig,852.26,0.8906,2.1785,127.44,124.9,6.58
2025-04-01,Munich,746.37,0.7815,2.0432,127.73,172.49,6.15
2025-04-02,Berlin,985.42,1.0308,2.5583,112.95,123.22,6.72
2025-04-02,Cologne,942.49,0.9869,2.4333,135.72,222.08,6.8
2025-04-02,Hamburg,978.64,1.0248,2.3542,104.27,77.64,6.57
2025-04-02,Leipzig,835.38,0.8729,2.1334,130.29,124.96,7.32
2025-04-02,Munich,743.0,0.7756,1.9624,129.02,128.37,6.81
2025-04-03,Berlin,999.16,1.0408,2.5188,115.65,88.93,6.46
2025-04-03,Cologne,948.23,0.9888,2.4733,138.72,188.61,6.93
2025-04-03,Hamburg,972.91,1.0156,2.3335,107.6,71.35,7.17
2025-04-03,Leipzig,841.51,0.8802,2.0432,130.79,119.74,7.02
2025-04-03,Munich,739.46,0.7735,2.0009,131.18,177.05,6.61
2025-04-04,Berlin,988.02,1.0324,2.4484,116.65,147.89,6.97
2025-04-04,Cologne,932.02,0.977,2.2954,139.42,178.89,7.28
2025-04-04,Hamburg,982.08,1.0273,2.411,107.13,39.49,6.58
2025-04-04,Leipzig,842.29,0.882,2.2123,133.03,128.24,6.7
2025-04-04,Munich,742.22,0.7756,1.7709,133.25,119.78,7.01
2025-04-05,Berlin,841.55,0.8812,2.1307,117.39,131.85,6.74
2025-04-05,Cologne,796.99,0.8328,1.9691,141.78,157.54,7.33
2025-04-05,Hamburg,828.37,0.8656,2.0777,109.37,68.14,7.27
2025-04-05,Leipzig,711.21,0.7439,1.953,132.92,114.29,7.11
2025-04-05,Munich,633.67,0.6621,1.6326,133.54,143.82,7.1
2025-04-06,Berlin,837.15,0.8748,2.1503,119.06,135.5,7.47
2025-04-06,Cologne,800.18,0.8353,2.0886,145.77,221.26,7.06
2025-04-06,Hamburg,823.72,0.8616,1.958,111.3,66.25,7.41
2025-04-06,Leipzig,699.55,0.731,1.8128,137.25,151.15,7.73
2025-04-06,Munich,635.0,0.6622,1.7432,137.31,127.79,6.63
2025-04-07,Berlin,977.75,1.0228,2.5525,119.84,127.76,7.27
2025-04-07,Cologne,922.64,0.9651,2.2517,145.65,228.84,8.16
2025-04-07,Hamburg,974.42,1.0203,2.4401,111.82,84.43,6.89
2025-04-07,Leipzig,841.96,0.878,2.166,138.42,116.36,6.95
2025-04-07,Munich,728.71,0.7614,1.8898,138.49,175.85,7.81
2025-04-08,Berlin,976.41,1.0224,2.595,122.46,106.22,7.68
2025-04-08,Cologne,927.29,0.969,2.2968,148.63,186.22,7.7
2025-04-08,Hamburg,965.04,1.0052,2.273,113.89,59.73,7.46
2025-04-08,Leipzig,831.95,0.8684,2.1951,140.34,137.82,7.75
2025-04-08,Munich,728.96,0.7625,1.898,138.94,157.2,7.95
2025-04-09,Berlin,968.33,1.0087,2.446,123.23,132.35,8.03
2025-04-09,Cologne,930.89,0.9737,2.3184,150.55,194.61,7.54
2025-04-09,Hamburg,958.2,1.0002,2.319,116.01,83.43,8.1
2025-04-09,Leipzig,828.5,0.8648,2.0804,143.39,105.24,7.7
2025-04-09,Munich,720.79,0.7524,1.9203,140.57,171.32,8.22
2025-04-10,Berlin,982.71,1.0269,2.6313,125.9,69.21,7.57
2025-04-10,Cologne,937.01,0.9781,2.3043,151.02,177.53,7.91
2025-04-10,Hamburg,952.46,0.9973,2.4657,115.63,57.44,8.06
2025-04-10,Leipzig,832.52,0.8727,2.0793,143.02,123.28,7.46
2025-04-10,Munich,725.65,0.759,1.8429,143.22,145.54,8.14
2025-04-11,Berlin,961.12,1.0075,2.5169,125.55,124.47,8.33
2025-04-11,Cologne,924.29,0.9628,2.2282,154.83,187.91,8.21
2025-04-11,Hamburg,960.65,1.0049,2.2933,118.47,104.92,8.08
2025-04-11,Leipzig,827.67,0.864,2.0498,145.02,93.4,8.04
2025-04-11,Munich,723.61,0.7585,1.8415,145.89,132.58,8.36
2025-04-12,Berlin,820.21,0.8589,2.1333,128.47,104.58,8.18
2025-04-12,Cologne,784.71,0.8191,1.936,155.38,194.24,7.98
2025-04-12,Hamburg,819.23,0.8543,1.9873,119.04,91.71,8.11
2025-04-12,Leipzig,690.23,0.7205,1.8135,146.49,139.69,9.07
2025-04-12,Munich,612.84,0.641,1.6326,145.87,173.92,8.37
2025-04-13,Berlin,815.59,0.8513,2.1213,131.83,117.31,8.61
2025-04-13,Cologne,788.28,0.822,1.932,159.75,224.28,8.04
2025-04-13,Hamburg,815.9,0.8526,2.1045,120.72,45.27,8.05
2025-04-13,Leipzig,693.71,0.7241,1.7129,149.49,83.89,8.83
2025-04-13,Munich,619.32,0.6492,1.5944,148.21,177.86,8.23
2025-04-14,Berlin,966.16,1.0096,2.4822,132.07,123.81,8.43
2025-04-14,Cologne,927.38,0.968,2.2769,160.01,205.94,7.93
2025-04-14,Hamburg,950.96,0.9958,2.4032,119.51,118.63,8.52
2025-04-14,Leipzig,816.17,0.8528,2.0521,148.33,85.25,8.64
2025-04-14,Munich,727.42,0.7609,1.8463,150.07,142.27,8.19
2025-04-15,Berlin,960.71,1.0028,2.4862,132.79,101.38,8.57
2025-04-15,Cologne,926.43,0.965,2.2409,162.94,157.29,8.36
2025-04-15,Hamburg,950.66,0.9923,2.3948,124.74,79.32,8.53
2025-04-15,Leipzig,817.68,0.8553,2.1702,151.74,102.14,9.03
2025-04-15,Munich,724.6,0.7564,1.8429,151.4,135.92,8.66
2025-04-16,Berlin,948.4,0.99,2.5279,135.84,106.86,9.41
2025-04-16,Cologne,912.93,0.953,2.2953,163.1,186.12,9.21
2025-04-16,Hamburg,942.46,0.99,2.431,124.7,49.1,8.38
2025-04-16,Leipzig,814.34,0.8509,2.0415,153.59,116.96,8.95
2025-04-16,Munich,710.43,0.7431,1.7604,151.2,142.45,9.29
2025-04-17,Berlin,956.38,0.9962,2.3994,137.48,108.92,9.01
2025-04-17,Cologne,914.86,0.954,2.2381,167.45,199.2,8.82
2025-04-17,Hamburg,951.38,0.9931,2.2213,123.81,73.15,8.64
2025-04-17,Leipzig,819.8,0.8557,2.0424,156.47,108.09,8.53
2025-04-17,Munich,719.34,0.7517,1.946,156.36,148.56,8.84
2025-04-18,Berlin,965.09,1.0085,2.382,136.21,108.19,8.59
2025-04-18,Cologne,905.53,0.9452,2.2751,167.15,189.36,9.24
2025-04-18,Hamburg,951.14,0.9918,2.3606,129.31,71.45,9.04
2025-04-18,Leipzig,808.16,0.8471,1.9484,156.48,140.77,8.93
2025-04-18,Munich,713.6,0.7457,1.7911,158.27,129.28,9.24
2025-04-19,Berlin,807.92,0.8451,2.098,140.32,120.99,9.18
2025-04-19,Cologne,772.93,0.8068,1.9644,170.27,180.88,9.31
2025-04-19,Hamburg,801.87,0.8361,1.9318,130.14,82.51,9.15
2025-04-19,Leipzig,694.53,0.725,1.7119,158.42,90.51,9.28
2025-04-19,Munich,609.06,0.6351,1.532,159.87,132.45,9.38
2025-04-20,Berlin,810.54,0.8461,2.0747,142.01,104.72,9.07
2025-04-20,Cologne,766.95,0.8014,1.9598,170.85,198.37,10.1
2025-04-20,Hamburg,800.71,0.8349,1.922,130.32,55.47,9.64
2025-04-20,Leipzig,688.8,0.7228,1.7418,158.59,83.55,9.25
2025-04-20,Munich,600.24,0.6279,1.5551,161.51,129.28,9.84
2025-04-21,Berlin,949.57,0.9922,2.4898,141.56,105.34,9.45
2025-04-21,Cologne,909.28,0.9511,2.2443,171.11,199.75,8.85
2025-04-21,Hamburg,934.19,0.9762,2.2989,131.15,78.98,9.51
2025-04-21,Leipzig,811.83,0.8465,1.9898,162.74,109.75,9.55
2025-04-21,Munich,713.61,0.7449,1.789,161.96,141.3,9.57
2025-04-22,Berlin,946.81,0.9883,2.4404,143.32,80.24,10.12
2025-04-22,Cologne,907.43,0.9492,2.1875,175.48,187.41,9.42
2025-04-22,Hamburg,934.05,0.977,2.5602,132.35,50.2,9.42
2025-04-22,Leipzig,809.6,0.8469,2.0254,163.72,130.28,9.22
2025-04-22,Munich,717.07,0.7469,1.7778,165.64,176.74,9.64
2025-04-23,Berlin,952.56,0.9933,2.332,143.68,123.63,10.13
2025-04-23,Cologne,895.66,0.9379,2.275,176.36,175.03,10.18
2025-04-23,Hamburg,927.81,0.9715,2.3504,133.49,85.37,10.0
2025-04-23,Leipzig,807.84,0.8424,1.9513,165.99,116.98,10.05
2025-04-23,Munich,715.62,0.7462,1.8023,166.64,189.09,10.22
2025-04-24,Berlin,938.81,0.981,2.4275,147.12,126.64,10.43
2025-04-24,Cologne,912.16,0.9522,2.3605,177.87,178.62,9.45
2025-04-24,Hamburg,933.23,0.9752,2.3405,135.57,59.98,10.4
2025-04-24,Leipzig,815.57,0.8504,1.9932,167.78,130.66,9.25
2025-04-24,Munich,705.29,0.737,1.8186,165.51,142.22,10.3
2025-04-25,Berlin,945.25,0.9857,2.4319,147.77,129.88,10.2
2025-04-25,Cologne,900.26,0.9388,2.1739,179.42,168.68,10.47
2025-04-25,Hamburg,927.69,0.9674,2.2149,138.33,56.78,10.81
2025-04-25,Leipzig,799.29,0.8335,1.9541,168.8,108.35,10.55
2025-04-25,Munich,698.81,0.7294,1.82,169.38,167.01,10.68
2025-04-26,Berlin,792.77,0.8284,2.0551,148.45,109.04,11.01
2025-04-26,Cologne,764.57,0.8023,1.9605,181.48,232.11,10.08
2025-04-26,Hamburg,791.38,0.8269,1.8884,137.89,75.78,10.24
2025-04-26,Leipzig,675.21,0.7056,1.7738,172.03,66.0,10.23
2025-04-26,Munich,600.28,0.6253,1.6067,171.04,191.05,10.23
2025-04-27,Berlin,798.75,0.8346,2.0387,151.82,119.4,10.49
2025-04-27,Cologne,761.13,0.7962,1.9061,181.3,184.68,10.4
2025-04-27,Hamburg,785.91,0.8229,2.0354,139.09,66.1,10.47
2025-04-27,Leipzig,685.24,0.716,1.7156,171.27,113.61,10.2
2025-04-27,Munich,601.68,0.6274,1.584,172.27,154.52,10.13
2025-04-28,Berlin,944.35,0.9847,2.4935,151.83,138.27,10.15
2025-04-28,Cologne,896.43,0.9348,2.1344,182.51,202.11,10.4
2025-04-28,Hamburg,927.76,0.9694,2.2664,140.92,89.02,10.6
2025-04-28,Leipzig,803.28,0.8402,2.0399,171.81,127.23,9.77
2025-04-28,Munich,703.72,0.7353,1.746,172.82,188.63,11.05
2025-04-29,Berlin,936.69,0.9778,2.2995,153.96,133.78,11.05
2025-04-29,Cologne,894.48,0.9356,2.2372,186.21,219.89,10.68
2025-04-29,Hamburg,932.63,0.9725,2.2715,142.23,57.8,10.85
2025-04-29,Leipzig,799.92,0.835,1.9563,175.02,127.58,10.95
2025-04-29,Munich,708.34,0.7379,1.8431,175.42,171.55,10.97
2025-04-30,Berlin,935.23,0.9772,2.4204,155.09,117.14,11.58
2025-04-30,Cologne,897.11,0.9364,2.2376,186.7,104.75,10.7
2025-04-30,Hamburg,925.48,0.9671,2.2311,143.17,66.71,10.76
2025-04-30,Leipzig,797.64,0.8326,1.9421,177.06,122.72,10.94
2025-04-30,Munich,710.38,0.74,1.7888,177.65,124.85,10.24
2025-05-01,Berlin,937.9,0.9811,2.3009,154.2,96.08,11.38
2025-05-01,Cologne,897.47,0.9378,2.2323,188.34,142.68,11.11
2025-05-01,Hamburg,933.1,0.972,2.3214,143.96,75.11,10.8
2025-05-01,Leipzig,797.32,0.8331,1.9628,178.45,77.21,10.92
2025-05-01,Munich,698.09,0.7295,1.7871,177.34,122.81,11.48
2025-05-02,Berlin,930.16,0.975,2.3819,158.06,129.35,11.17
2025-05-02,Cologne,897.18,0.9355,2.1656,190.44,187.77,10.78
2025-05-02,Hamburg,923.39,0.9639,2.2332,145.59,75.52,11.29
2025-05-02,Leipzig,798.82,0.8365,1.9355,178.92,101.66,10.74
2025-05-02,Munich,705.45,0.7387,1.8312,178.92,165.4,11.3
2025-05-03,Berlin,795.9,0.8317,1.9999,159.17,118.93,11.17
2025-05-03,Cologne,756.79,0.7908,1.8951,192.11,148.91,11.76
2025-05-03,Hamburg,787.33,0.821,1.9229,147.76,67.63,10.91
2025-05-03,Leipzig,682.58,0.7118,1.6381,180.37,139.43,11.2
2025-05-03,Munich,595.82,0.6219,1.6336,181.57,169.62,11.27
2025-05-04,Berlin,793.13,0.827,2.0268,159.86,133.17,11.57
2025-05-04,Cologne,758.75,0.7928,1.8685,193.2,203.6,11.81
2025-05-04,Hamburg,780.8,0.8167,2.0058,148.85,86.8,12.04
2025-05-04,Leipzig,677.99,0.7085,1.7278,183.01,136.5,11.74
2025-05-04,Munich,596.97,0.6218,1.5541,183.05,130.79,11.42
2025-05-05,Berlin,936.06,0.9791,2.3473,161.69,145.38,11.84
2025-05-05,Cologne,894.28,0.9325,2.1631,195.09,194.83,12.08
2025-05-05,Hamburg,926.67,0.9673,2.2336,148.51,75.27,12.08
2025-05-05,Leipzig,794.53,0.8346,2.0032,182.85,104.53,11.45
2025-05-05,Munich,696.26,0.7283,1.8045,182.47,167.44,11.77
2025-05-06,Berlin,940.33,0.9805,2.3132,162.58,132.16,11.68
2025-05-06,Cologne,896.44,0.9357,2.2597,198.06,169.86,11.72
2025-05-06,Hamburg,923.99,0.9645,2.1497,149.75,69.41,12.31
2025-05-06,Leipzig,795.56,0.8287,1.9773,185.06,100.62,11.76
2025-05-06,Munich,701.59,0.7323,1.795,185.84,186.77,11.61
2025-05-07,Berlin,932.43,0.9733,2.3024,162.89,168.8,12.16
2025-05-07,Cologne,890.24,0.9283,2.2017,198.55,222.14,11.77
2025-05-07,Hamburg,919.73,0.9621,2.234,150.49,73.64,12.28
2025-05-07,Leipzig,791.91,0.8301,2.0726,187.41,114.74,11.57
2025-05-07,Munich,703.75,0.7338,1.8625,186.65,180.42,11.85
2025-05-08,Berlin,931.64,0.9755,2.3708,164.59,121.56,12.23
2025-05-08,Cologne,893.08,0.9303,2.1668,199.76,185.3,12.02
2025-05-08,Hamburg,927.02,0.9687,2.1715,151.58,59.07,12.38
2025-05-08,Leipzig,790.26,0.8275,1.9213,184.49,120.66,12.44
2025-05-08,Munich,698.68,0.7286,1.7351,187.22,144.12,12.4
2025-05-09,Berlin,935.87,0.9779,2.3785,164.04,130.7,12.29
2025-05-09,Cologne,891.25,0.9313,2.1488,200.18,147.79,12.22
2025-05-09,Hamburg,919.08,0.9634,2.3041,154.47,70.09,11.93
2025-05-09,Leipzig,794.58,0.8303,1.9625,189.27,133.93,12.48
2025-05-09,Munich,693.07,0.7265,1.734,189.7,165.11,12.69
2025-05-10,Berlin,793.56,0.8301,2.0554,166.72,106.53,12.71
2025-05-10,Cologne,761.24,0.7938,1.845,203.37,209.5,12.66
2025-05-10,Hamburg,787.09,0.8225,1.874,155.39,58.37,12.31
2025-05-10,Leipzig,672.31,0.7018,1.6891,191.63,126.49,12.48
2025-05-10,Munich,593.7,0.6204,1.5165,189.33,124.99,12.2
2025-05-11,Berlin,789.03,0.8253,2.0671,168.72,109.84,12.04
2025-05-11,Cologne,760.06,0.7934,1.7768,204.48,185.23,12.69
2025-05-11,Hamburg,785.41,0.8216,1.8541,154.4,41.37,12.68
2025-05-11,Leipzig,671.67,0.7018,1.6894,192.67,135.35,12.44
2025-05-11,Munich,593.08,0.6191,1.5395,190.81,177.63,12.69
2025-05-12,Berlin,934.35,0.9743,2.444,169.14,102.01,12.76
2025-05-12,Cologne,893.96,0.9341,2.1167,204.94,215.32,12.97
2025-05-12,Hamburg,921.61,0.963,2.183,156.7,56.22,12.8
2025-05-12,Leipzig,796.08,0.831,1.9707,193.08,122.69,12.56
2025-05-12,Munich,699.88,0.7329,1.7866,192.96,143.31,12.79
2025-05-13,Berlin,929.49,0.9723,2.382,167.58,101.6,12.91
2025-05-13,Cologne,889.02,0.9309,2.1863,207.07,209.24,12.64
2025-05-13,Hamburg,918.15,0.9604,2.1643,157.35,60.76,12.8
2025-05-13,Leipzig,790.46,0.8286,2.0177,195.49,134.82,12.99
2025-05-13,Munich,697.79,0.7291,1.7458,194.53,154.99,13.27
2025-05-14,Berlin,934.58,0.9766,2.3705,167.21,101.63,13.48
2025-05-14,Cologne,888.33,0.9253,2.1273,207.54,175.16,13.54
2025-05-14,Hamburg,916.16,0.9593,2.2614,158.77,64.08,12.51
2025-05-14,Leipzig,795.79,0.8315,1.9203,194.9,124.03,12.75
2025-05-14,Munich,701.23,0.7312,1.7463,195.84,172.56,12.93
2025-05-15,Berlin,934.75,0.9737,2.3694,171.72,112.02,13.03
2025-05-15,Cologne,889.33,0.9293,2.1619,209.66,177.5,12.62
2025-05-15,Hamburg,926.85,0.9685,2.1973,160.44,71.92,12.7
2025-05-15,Leipzig,791.49,0.8253,1.8974,196.01,141.87,13.04
2025-05-15,Munich,697.18,0.7277,1.7559,195.37,163.29,13.13
2025-05-16,Berlin,932.58,0.9735,2.3564,171.25,122.68,13.74
2025-05-16,Cologne,889.72,0.9287,2.1788,209.82,195.14,13.13
2025-05-16,Hamburg,919.16,0.9605,2.2298,161.25,73.81,13.62
2025-05-16,Leipzig,793.72,0.8276,2.0111,197.55,109.02,13.46
2025-05-16,Munich,697.54,0.7266,1.7566,197.85,138.09,13.3
2025-05-17,Berlin,788.37,0.8238,2.0179,174.68,155.47,12.85
2025-05-17,Cologne,755.95,0.7899,1.7982,211.28,191.64,13.41
2025-05-17,Hamburg,780.17,0.8152,1.8739,162.4,71.09,13.54
2025-05-17,Leipzig,676.12,0.7058,1.6415,199.68,123.24,13.12
2025-05-17,Munich,592.05,0.6186,1.4909,199.13,148.35,13.88
2025-05-18,Berlin,791.38,0.8269,2.0317,175.46,105.3,13.31
2025-05-18,Cologne,754.83,0.7871,1.8184,212.64,199.41,13.78
2025-05-18,Hamburg,781.33,0.8147,1.9428,161.78,51.9,13.77
2025-05-18,Leipzig,677.92,0.7069,1.6591,199.2,98.73,12.75
2025-05-18,Munich,590.88,0.6168,1.5113,199.87,164.87,14.52
2025-05-19,Berlin,931.26,0.9721,2.4527,176.5,118.87,13.43
2025-05-19,Cologne,886.31,0.9281,2.2663,212.64,190.79,13.58
2025-05-19,Hamburg,920.77,0.9621,2.2373,163.07,81.32,13.52
2025-05-19,Leipzig,787.56,0.8255,1.9825,200.96,95.59,13.99
2025-05-19,Munich,699.35,0.73,1.7798,202.24,180.68,13.47
2025-05-20,Berlin,937.8,0.9789,2.2952,176.98,139.47,13.85
2025-05-20,Cologne,887.61,0.9275,2.1723,213.89,214.19,13.54
2025-05-20,Hamburg,925.37,0.9649,2.2094,164.65,72.84,14.07
2025-05-20,Leipzig,792.97,0.8295,1.9234,200.61,100.34,13.69
2025-05-20,Munich,696.81,0.7296,1.8584,201.24,145.57,14.24
2025-05-21,Berlin,934.84,0.9768,2.2862,177.08,116.7,14.29
2025-05-21,Cologne,885.92,0.9257,2.2212,215.05,203.53,13.79
2025-05-21,Hamburg,923.38,0.9639,2.1658,165.52,38.5,13.54
2025-05-21,Leipzig,790.12,0.8256,1.9243,203.52,110.04,13.87
2025-05-21,Munich,698.29,0.7297,1.768,202.6,185.78,13.52
2025-05-22,Berlin,933.15,0.9751,2.5147,179.88,132.65,13.75
2025-05-22,Cologne,891.65,0.9307,2.146,216.62,176.08,13.93
2025-05-22,Hamburg,916.24,0.9554,2.1785,166.48,39.37,14.65
2025-05-22,Leipzig,793.76,0.8277,1.875,204.99,134.68,14.11
2025-05-22,Munich,695.22,0.728,1.7838,205.68,174.96,14.52
2025-05-23,Berlin,930.74,0.9736,2.4567,177.19,114.87,14.14
2025-05-23,Cologne,888.29,0.9301,2.1308,218.27,176.72,13.91
2025-05-23,Hamburg,922.01,0.9624,2.2162,165.92,69.41,14.09
2025-05-23,Leipzig,788.54,0.8266,1.9873,205.27,89.61,14.06
2025-05-23,Munich,694.84,0.7238,1.8209,203.87,152.34,15.1
2025-05-24,Berlin,792.64,0.8283,2.0167,179.98,84.66,14.16
2025-05-24,Cologne,753.6,0.7858,1.9243,219.44,206.0,14.25
2025-05-24,Hamburg,782.86,0.8189,1.9546,165.78,78.2,14.46
2025-05-24,Leipzig,674.13,0.7037,1.6258,206.22,88.28,14.46
2025-05-24,Munich,593.16,0.6179,1.5647,205.56,142.04,13.98
2025-05-25,Berlin,793.78,0.8294,1.9648,181.81,118.04,14.29
2025-05-25,Cologne,754.28,0.7915,1.8439,220.21,217.05,14.53
2025-05-25,Hamburg,778.78,0.8138,1.8803,168.29,70.51,14.51
2025-05-25,Leipzig,673.13,0.7056,1.666,206.11,85.08,14.07
2025-05-25,Munich,594.35,0.6204,1.4643,207.24,165.6,14.21
